Taotluse reg.kpv,Elamisloa liik,Rändeliik,Kodakondsus,Sugu,Vanuserühm
2025-05-06 08:36:59.755470,Tähtajaline elamisluba,Välisleping,Singapur,N, 40-44
2025-06-01 22:40:28.077327,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Egiptus,M, 50-54
2017-02-12 02:35:48.324993,Tähtajalise elamisloa pikendamine,Ettevõtlus,Valgevene,M, 30-34
2024-06-23 20:08:47.987428,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Armeenia,M, 60-64
2023-04-18 13:28:10.753373,Tähtajalise elamisloa pikendamine,Pereränne,Kasahstan,M, 40-44
2025-05-08 06:55:15.180480,Tähtajaline elamisluba,Välisleping,Singapur,N, 65-69
2015-10-23 08:45:33.269387,Tähtajaline elamisluba,Ettevõtlus,Maroko,N, 30-34
2015-03-14 13:49:18.595677,Tähtajalise elamisloa pikendamine,Õppimine,Argentina,N, 15-19
2021-12-27 21:14:02.863602,Tähtajaline elamisluba,Välisleping,Taiwan,M, 5-9
2024-03-09 12:41:15.929639,Tähtajaline elamisluba,Välisleping,Brasiilia,N, 10-14
2023-10-21 04:56:03.833713,Tähtajalise elamisloa pikendamine,Välisleping,Korea Vabariik,N, 85+
2025-03-19 01:20:04.603806,Tähtajalise elamisloa pikendamine,Õppimine,Brasiilia,M, 30-34
2021-11-26 12:47:10.695481,Tähtajaline elamisluba,Töötamine,Aserbaidžaan,N, 60-64
2022-07-10 12:47:41.049445,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Maroko,M, 5-9
2025-04-23 15:55:30.176569,Tähtajalise elamisloa pikendamine,Töötamine,Jaapan,N, 75-79
2023-06-14 21:15:30.099385,Tähtajalise elamisloa pikendamine,Ettevõtlus,Nigeeria,N, 25-29
2025-02-02 07:13:07.909380,Tähtajalise elamisloa pikendamine,Välisleping,Nepal,N, 15-19
2024-05-16 13:28:34.635543,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kasahstan,M, 40-44
2025-06-01 23:59:59.876914,Tähtajalise elamisloa pikendamine,Õppimine,Türgi,M, 65-69
2024-03-18 12:25:20.339885,Tähtajaline elamisluba,Välisleping,Muu,M, 0-4
2017-04-08 13:48:30.045780,Tähtajaline elamisluba,Töötamine,Moldova,M, 65-69
2017-07-06 16:43:15.459838,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Egiptus,M, 60-64
2025-03-06 20:08:57.478105,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Armeenia,N, 30-34
2024-01-02 14:04:13.924606,Tähtajalise elamisloa pikendamine,Välisleping,Brasiilia,N, 85+
2021-09-26 06:16:13.409185,Tähtajaline elamisluba,Ettevõtlus,Venemaa,M, 30-34
2024-07-25 04:04:35.907667,Tähtajalise elamisloa pikendamine,Ettevõtlus,Brasiilia,N, 25-29
2019-12-23 21:13:33.971586,Tähtajalise elamisloa pikendamine,Töötamine,Taiwan,M, 85+
2025-06-01 23:21:16.125663,Tähtajalise elamisloa pikendamine,Õppimine,Kasahstan,N, 25-29
2019-10-07 19:47:08.576393,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Filipiinid,N, 25-29
2025-05-27 13:20:03.122958,Tähtajaline elamisluba,Välisleping,Iisrael,N, 75-79
2021-11-22 04:33:45.941091,Tähtajaline elamisluba,Töötamine,Aserbaidžaan,N, 20-24
2019-07-09 09:33:43.026549,Tähtajaline elamisluba,Välisleping,Bangladesh,M, 60-64
2019-05-03 07:01:12.934048,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Hiina,N, 80-84
2025-06-01 14:09:02.539575,Tähtajaline elamisluba,Legaalne sissetulek,Moldova,M, 20-24
2017-12-05 07:58:34.761269,Tähtajaline elamisluba,Legaalne sissetulek,Afganistan,M, 0-4
2018-01-06 08:43:13.483178,Tähtajaline elamisluba,Legaalne sissetulek,Sierra Leone,N, 25-29
2022-11-12 23:40:50.410573,Tähtajaline elamisluba,Õppimine,Moldova,N, 80-84
2022-05-07 18:57:55.263606,Tähtajaline elamisluba,Pereränne,Palestiina okupeeritud ala,N, 10-14
2019-05-20 16:04:33.166938,Tähtajaline elamisluba,Õppimine,Venezuela,M, 75-79
2018-05-15 13:42:20.255436,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venemaa,N, 65-69
2018-04-14 11:53:54.730291,Tähtajaline elamisluba,Ettevõtlus,Gruusia,M, 30-34
2018-02-09 05:27:33.271966,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Ecuador,M, 0-4
2018-02-17 13:05:52.834179,Tähtajaline elamisluba,Ettevõtlus,Ameerika Ühendriigid,M, 20-24
2021-02-18 07:56:57.790371,Tähtajaline elamisluba,Töötamine,Argentina,N, 40-44
2023-04-18 08:21:28.123393,Tähtajaline elamisluba,Õppimine,Sierra Leone,N, 65-69
2021-11-17 00:08:18.089981,Tähtajaline elamisluba,Legaalne sissetulek,Filipiinid,N, 0-4
2019-11-30 03:44:06.229544,Tähtajaline elamisluba,Töötamine,India,N, 60-64
2020-06-10 17:00:11.475244,Tähtajaline elamisluba,Töötamine,Malaisia,N, 30-34
2019-03-08 13:04:49.558768,Tähtajaline elamisluba,Töötamine,Senegal,N, 75-79
2020-06-26 05:25:14.278766,Tähtajaline elamisluba,Pereränne,Sierra Leone,N, 75-79
2016-07-06 12:21:25.013941,Tähtajaline elamisluba,Välisleping,Venezuela,N, 70-74
2015-01-11 10:36:34.260077,Tähtajalise elamisloa pikendamine,Välisleping,Jaapan,M, 60-64
2015-12-09 00:03:14.248554,Tähtajaline elamisluba,Õppimine,Senegal,N, 45-49
2015-01-09 00:00:00.000000,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Indoneesia,M, 85+
2019-11-25 21:47:43.146951,Tähtajaline elamisluba,Õppimine,Ghana,N, 15-19
2018-11-23 04:47:53.811398,Tähtajalise elamisloa pikendamine,Välisleping,Lõuna-Aafrika Vabariik,N, 35-39
2024-11-19 17:43:27.144168,Tähtajaline elamisluba,Legaalne sissetulek,Libeeria,M, 50-54
2023-01-19 15:09:05.586680,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Määratlemata kodakondsus,N, 10-14
2016-09-29 01:57:31.240940,Tähtajaline elamisluba,Õppimine,Nepal,M, 85+
2025-06-01 23:38:44.979762,Tähtajaline elamisluba,Pereränne,Hiina,M, 10-14
2020-06-28 11:49:37.268847,Tähtajaline elamisluba,Õppimine,Kamerun,N, 55-59
2019-04-30 18:43:15.778519,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,India,N, 45-49
2015-01-16 18:13:15.902023,Tähtajalise elamisloa pikendamine,Töötamine,Maroko,M, 85+
2020-04-01 23:49:31.769152,Tähtajalise elamisloa pikendamine,Pereränne,Taiwan,M, 55-59
2021-10-14 18:49:21.115772,Tähtajaline elamisluba,Ettevõtlus,Colombia,M, 65-69
2017-10-15 17:18:57.281851,Tähtajalise elamisloa pikendamine,Õppimine,Sierra Leone,N, 20-24
2016-06-11 05:11:44.656550,Tähtajalise elamisloa pikendamine,Ettevõtlus,Kasahstan,M, 85+
2021-04-14 04:12:59.956270,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Indoneesia,N, 85+
2016-10-28 00:41:32.670330,Tähtajalise elamisloa pikendamine,Välisleping,Tadžikistan,N, 15-19
2018-07-19 05:06:50.682497,Tähtajalise elamisloa pikendamine,Välisleping,Määratlemata kodakondsus,N, 60-64
2017-06-11 19:23:42.574262,Tähtajaline elamisluba,Õppimine,Taiwan,N, 80-84
2024-10-07 15:52:02.460474,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Lõuna-Aafrika Vabariik,N, 35-39
2015-03-30 15:27:44.591223,Tähtajalise elamisloa pikendamine,Ettevõtlus,Kasahstan,M, 80-84
2025-03-12 09:16:53.991836,Tähtajaline elamisluba,Pereränne,Venemaa,M, 75-79
2017-10-14 03:15:41.940526,Tähtajalise elamisloa pikendamine,Õppimine,Sri Lanka,N, 80-84
2025-05-11 12:05:51.962913,Tähtajalise elamisloa pikendamine,Välisleping,Usbekistan,N, 55-59
2021-04-08 03:37:28.395888,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Filipiinid,M, 70-74
2016-04-04 17:36:52.923858,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Filipiinid,M, 35-39
2018-08-28 10:27:47.501588,Tähtajalise elamisloa pikendamine,Pereränne,Maroko,N, 25-29
2024-09-28 20:21:46.110022,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Hiina,M, 35-39
2023-01-22 00:29:05.156267,Tähtajalise elamisloa pikendamine,Välisleping,Suurbritannia,N, 5-9
2022-04-01 11:06:30.678799,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Malaisia,N, 55-59
2024-06-09 18:57:22.667069,Tähtajalise elamisloa pikendamine,Pereränne,Sri Lanka,M, 70-74
2016-01-30 18:50:46.779761,Tähtajalise elamisloa pikendamine,Õppimine,Kanada,M, 80-84
2020-01-14 12:12:16.896258,Tähtajaline elamisluba,Legaalne sissetulek,Maroko,M, 35-39
2025-05-04 07:13:54.085563,Tähtajalise elamisloa pikendamine,Pereränne,Hiina,M, 75-79
2017-06-16 11:18:33.662534,Tähtajaline elamisluba,Pereränne,Suurbritannia,M, 0-4
2015-01-09 00:00:00.000000,Tähtajaline elamisluba,Välisleping,Mehhiko,N, 85+
2016-02-14 02:09:07.299094,Tähtajalise elamisloa pikendamine,Välisleping,Austraalia,N, 10-14
2023-06-07 14:17:30.545519,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Määratlemata kodakondsus,M, 5-9
2021-05-11 18:38:59.915497,Tähtajaline elamisluba,Pereränne,Indoneesia,M, 40-44
2025-01-09 04:12:53.831481,Tähtajalise elamisloa pikendamine,Õppimine,Malaisia,N, 75-79
2022-12-04 08:28:23.522035,Tähtajalise elamisloa pikendamine,Pereränne,Filipiinid,M, 5-9
2024-11-01 23:09:00.606156,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Kasahstan,M, 50-54
2025-06-01 23:57:53.369972,Tähtajalise elamisloa pikendamine,Töötamine,Austraalia,M, 15-19
2021-07-04 15:19:31.808194,Tähtajalise elamisloa pikendamine,Töötamine,Egiptus,M, 85+
2016-03-07 15:15:57.561650,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Moldova,M, 70-74
2024-08-18 04:30:10.165962,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Korea Vabariik,N, 10-14
2018-05-20 05:39:01.419860,Tähtajalise elamisloa pikendamine,Välisleping,Egiptus,N, 15-19
2021-09-13 01:23:18.152040,Tähtajalise elamisloa pikendamine,Õppimine,Tuneesia,N, 35-39
2022-08-22 16:37:46.344674,Tähtajaline elamisluba,Välisleping,Nepal,M, 15-19
2019-02-02 08:09:30.531246,Tähtajaline elamisluba,Ettevõtlus,Määratlemata kodakondsus,M, 40-44
2025-03-17 08:07:58.463734,Tähtajalise elamisloa pikendamine,Õppimine,Iisrael,N, 70-74
2017-11-20 08:38:11.057205,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Valgevene,N, 50-54
2024-01-30 09:16:18.317891,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Gambia,M, 5-9
2018-07-27 23:22:15.521431,Tähtajaline elamisluba,Töötamine,India,N, 15-19
2021-03-01 20:08:40.831523,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venezuela,N, 40-44
2022-12-18 21:14:58.644700,Tähtajaline elamisluba,Ettevõtlus,Hiina,M, 70-74
2022-03-12 04:00:38.430879,Tähtajaline elamisluba,Töötamine,Afganistan,N, 20-24
2025-01-22 22:45:14.741722,Tähtajalise elamisloa pikendamine,Õppimine,Senegal,N, 55-59
2024-08-02 20:14:20.609595,Tähtajaline elamisluba,Legaalne sissetulek,Malaisia,N, 0-4
2025-01-17 09:33:44.337632,Tähtajalise elamisloa pikendamine,Välisleping,Ecuador,N, 65-69
2025-03-26 03:24:27.225578,Tähtajaline elamisluba,Legaalne sissetulek,Türgi,M, 55-59
2017-11-30 02:31:02.218125,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Venezuela,M, 45-49
2015-11-07 22:34:48.959872,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ghana,N, 30-34
2023-05-04 06:30:53.165209,Tähtajaline elamisluba,Õppimine,Gambia,N, 55-59
2021-07-08 11:41:36.318987,Tähtajaline elamisluba,Õppimine,Usbekistan,M, 80-84
2015-02-14 16:30:43.896394,Tähtajaline elamisluba,Töötamine,Valgevene,N, 20-24
2016-08-05 19:11:42.155217,Tähtajalise elamisloa pikendamine,Pereränne,Iisrael,N, 60-64
2022-08-16 13:18:04.104357,Tähtajaline elamisluba,Ettevõtlus,Vietnam,M, 40-44
2017-01-26 11:54:30.738436,Tähtajaline elamisluba,Ettevõtlus,Iisrael,M, 80-84
2025-02-10 20:52:32.459033,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kanada,N, 0-4
2025-05-30 17:02:55.751239,Tähtajaline elamisluba,Õppimine,Kanada,M, 60-64
2015-08-11 03:09:05.960687,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Afganistan,N, 10-14
2025-04-21 18:52:55.544471,Tähtajaline elamisluba,Legaalne sissetulek,Ecuador,N, 65-69
2016-10-25 23:32:17.564569,Tähtajaline elamisluba,Pereränne,Iraan,M, 15-19
2016-05-15 11:31:41.949817,Tähtajaline elamisluba,Ettevõtlus,Nepal,M, 75-79
2019-08-27 00:45:56.313468,Tähtajaline elamisluba,Ettevõtlus,Tuneesia,N, 30-34
2016-01-14 02:11:45.698220,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Hiina,N, 80-84
2017-09-12 11:36:18.095877,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Egiptus,M, 20-24
2021-03-07 17:26:16.904061,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Lõuna-Aafrika Vabariik,M, 5-9
2015-04-17 01:43:45.989971,Tähtajalise elamisloa pikendamine,Õppimine,Albaania,N, 20-24
2024-04-21 10:41:20.748896,Tähtajalise elamisloa pikendamine,Õppimine,Ecuador,M, 40-44
2017-10-09 03:51:12.548270,Tähtajalise elamisloa pikendamine,Õppimine,Jaapan,N, 80-84
2022-11-20 02:47:35.116811,Tähtajaline elamisluba,Pereränne,Tai,M, 15-19
2020-02-05 12:57:15.715383,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Singapur,N, 80-84
2016-12-29 04:11:03.435065,Tähtajaline elamisluba,Õppimine,Venezuela,N, 25-29
2024-06-10 09:51:39.727081,Tähtajalise elamisloa pikendamine,Õppimine,Sri Lanka,N, 0-4
2020-11-11 19:19:18.336859,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Palestiina okupeeritud ala,M, 50-54
2022-04-05 12:19:16.542074,Tähtajaline elamisluba,Legaalne sissetulek,Gruusia,N, 5-9
2020-12-29 19:13:56.221420,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Süüria,M, 30-34
2024-01-02 01:28:47.051718,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ukraina,M, 60-64
2022-09-21 10:04:14.879796,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kasahstan,N, 10-14
2015-01-27 07:07:23.211299,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Indoneesia,M, 55-59
2021-01-06 03:44:37.023091,Tähtajalise elamisloa pikendamine,Õppimine,Kanada,N, 35-39
2020-05-17 07:57:27.009692,Tähtajalise elamisloa pikendamine,Õppimine,Bangladesh,N, 85+
2023-12-09 04:07:39.529417,Tähtajaline elamisluba,Õppimine,Valgevene,M, 40-44
2018-12-25 02:46:53.874497,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Singapur,N, 5-9
2022-10-28 21:01:51.181621,Tähtajaline elamisluba,Töötamine,Albaania,N, 25-29
2025-06-01 23:58:16.928705,Tähtajaline elamisluba,Pereränne,Sri Lanka,N, 35-39
2015-04-03 09:37:38.829951,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,India,N, 50-54
2016-10-08 10:21:43.419475,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Hiina,N, 0-4
2024-04-23 10:57:35.341139,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Tai,N, 15-19
2024-03-24 09:03:07.623962,Tähtajaline elamisluba,Õppimine,Sierra Leone,M, 5-9
2015-03-03 19:51:32.882500,Tähtajaline elamisluba,Välisleping,Iraan,M, 20-24
2024-08-07 12:50:54.181452,Tähtajalise elamisloa pikendamine,Õppimine,India,N, 50-54
2015-01-09 00:00:00.000000,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ghana,M, 55-59
2023-08-28 17:01:37.262118,Tähtajalise elamisloa pikendamine,Töötamine,Colombia,M, 55-59
2020-03-28 01:51:34.246906,Tähtajalise elamisloa pikendamine,Ettevõtlus,Egiptus,N, 0-4
2015-09-14 04:43:25.917591,Tähtajalise elamisloa pikendamine,Välisleping,Aserbaidžaan,M, 30-34
2024-02-12 02:02:28.925853,Tähtajalise elamisloa pikendamine,Välisleping,Tuneesia,M, 75-79
2016-09-03 21:01:57.740939,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venemaa,N, 0-4
2022-12-18 22:46:15.526129,Tähtajalise elamisloa pikendamine,Õppimine,Lõuna-Aafrika Vabariik,N, 30-34
2018-03-27 16:51:00.861772,Tähtajaline elamisluba,Pereränne,Hiina,M, 55-59
2018-05-01 10:54:03.925859,Tähtajalise elamisloa pikendamine,Töötamine,Usbekistan,N, 35-39
2021-09-18 06:06:56.928026,Tähtajaline elamisluba,Õppimine,Kasahstan,M, 85+
2016-08-21 09:35:37.587268,Tähtajaline elamisluba,Õppimine,Filipiinid,M, 65-69
2016-10-28 16:01:02.293969,Tähtajalise elamisloa pikendamine,Ettevõtlus,Albaania,M, 80-84
2025-02-03 19:33:09.290404,Tähtajalise elamisloa pikendamine,Õppimine,Ecuador,M, 65-69
2017-05-29 10:59:22.177650,Tähtajalise elamisloa pikendamine,Ettevõtlus,Sri Lanka,N, 70-74
2025-05-23 00:21:04.073245,Tähtajaline elamisluba,Töötamine,Gruusia,N, 45-49
2016-05-06 10:07:19.267401,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Afganistan,N, 0-4
2024-09-21 07:52:21.998823,Tähtajaline elamisluba,Välisleping,Libeeria,N, 50-54
2020-11-08 05:32:01.355955,Tähtajaline elamisluba,Õppimine,Hiina,N, 10-14
2017-06-24 12:45:24.953091,Tähtajalise elamisloa pikendamine,Ettevõtlus,Indoneesia,N, 85+
2015-12-07 08:12:39.229906,Tähtajalise elamisloa pikendamine,Pereränne,Venemaa,N, 85+
2017-11-01 04:08:45.816561,Tähtajaline elamisluba,Ettevõtlus,Sri Lanka,M, 40-44
2024-07-01 18:22:47.854014,Tähtajaline elamisluba,Õppimine,Ghana,M, 15-19
2019-04-04 21:31:24.636579,Tähtajaline elamisluba,Töötamine,Iraan,N, 75-79
2017-11-25 00:47:38.282699,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Colombia,M, 70-74
2016-06-01 10:56:18.104239,Tähtajaline elamisluba,Ettevõtlus,Colombia,N, 0-4
2015-11-24 19:34:35.926508,Tähtajaline elamisluba,Õppimine,Libeeria,N, 85+
2019-01-20 14:45:16.408475,Tähtajaline elamisluba,Legaalne sissetulek,Valgevene,M, 35-39
2023-08-03 16:07:14.215812,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Sierra Leone,N, 50-54
2025-04-06 01:30:47.519160,Tähtajaline elamisluba,Töötamine,Sierra Leone,M, 20-24
2017-09-30 01:06:54.379120,Tähtajalise elamisloa pikendamine,Välisleping,Sierra Leone,N, 70-74
2021-11-12 06:43:24.960681,Tähtajaline elamisluba,Töötamine,Afganistan,N, 55-59
2016-06-03 10:36:35.926156,Tähtajaline elamisluba,Ettevõtlus,Maroko,M, 10-14
2018-11-09 22:06:55.344845,Tähtajalise elamisloa pikendamine,Õppimine,Iisrael,M, 20-24
2018-04-11 11:19:31.235641,Tähtajalise elamisloa pikendamine,Ettevõtlus,Süüria,N, 65-69
2015-11-24 06:05:27.385243,Tähtajaline elamisluba,Välisleping,Suurbritannia,N, 50-54
2019-09-11 11:05:43.241083,Tähtajaline elamisluba,Välisleping,Ghana,M, 10-14
2016-12-25 17:55:16.268806,Tähtajaline elamisluba,Töötamine,Gruusia,N, 10-14
2016-07-21 08:08:12.004778,Tähtajaline elamisluba,Töötamine,Sri Lanka,M, 30-34
2021-02-10 19:44:03.826765,Tähtajalise elamisloa pikendamine,Pereränne,Jaapan,N, 35-39
2025-04-11 03:59:50.149361,Tähtajalise elamisloa pikendamine,Pereränne,Ukraina,N, 55-59
2022-07-30 14:01:27.581061,Tähtajalise elamisloa pikendamine,Töötamine,Nigeeria,M, 35-39
2020-07-03 06:20:34.469786,Tähtajaline elamisluba,Õppimine,Kanada,M, 15-19
2021-06-27 23:03:00.658440,Tähtajalise elamisloa pikendamine,Õppimine,Nepal,M, 15-19
2015-01-16 23:05:57.111569,Tähtajaline elamisluba,Legaalne sissetulek,Iraan,N, 70-74
2022-04-22 15:59:45.457772,Tähtajalise elamisloa pikendamine,Õppimine,Gambia,N, 80-84
2025-05-31 05:42:23.239209,Tähtajaline elamisluba,Ettevõtlus,Gruusia,M, 50-54
2025-04-27 22:13:31.588908,Tähtajaline elamisluba,Töötamine,Valgevene,M, 0-4
2015-04-14 07:16:45.836584,Tähtajaline elamisluba,Töötamine,Kamerun,M, 0-4
2016-09-10 06:06:14.014192,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Brasiilia,M, 85+
2024-07-08 21:13:38.974656,Tähtajaline elamisluba,Töötamine,Austraalia,M, 15-19
2020-03-27 22:21:20.663922,Tähtajalise elamisloa pikendamine,Pereränne,Ameerika Ühendriigid,N, 80-84
2021-10-14 21:04:50.565868,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Korea Vabariik,M, 40-44
2021-06-01 16:41:34.405133,Tähtajaline elamisluba,Ettevõtlus,Austraalia,M, 60-64
2025-05-06 09:24:14.689703,Tähtajalise elamisloa pikendamine,Välisleping,Tadžikistan,N, 0-4
2017-12-23 09:10:09.201352,Tähtajalise elamisloa pikendamine,Töötamine,Hiina,N, 50-54
2021-04-23 19:57:34.843955,Tähtajalise elamisloa pikendamine,Välisleping,Iraan,M, 60-64
2024-03-09 00:56:15.443693,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Afganistan,N, 20-24
2024-10-16 14:04:17.618896,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Libeeria,M, 50-54
2025-05-18 13:31:09.023653,Tähtajaline elamisluba,Õppimine,Armeenia,M, 25-29
2022-05-05 23:59:49.367813,Tähtajalise elamisloa pikendamine,Töötamine,Moldova,M, 50-54
2020-07-22 07:16:13.590919,Tähtajaline elamisluba,Õppimine,Mehhiko,N, 55-59
2015-01-19 07:27:21.753035,Tähtajaline elamisluba,Pereränne,Moldova,N, 30-34
2018-04-15 11:41:55.339610,Tähtajaline elamisluba,Välisleping,Egiptus,M, 50-54
2021-01-03 11:21:22.537144,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Muu,N, 35-39
2025-06-01 23:59:56.510843,Tähtajaline elamisluba,Töötamine,Nigeeria,N, 70-74
2022-03-02 23:19:55.979144,Tähtajaline elamisluba,Välisleping,Iraan,M, 20-24
2022-07-16 04:40:06.535582,Tähtajaline elamisluba,Välisleping,Jaapan,M, 50-54
2017-10-10 16:08:07.760434,Tähtajalise elamisloa pikendamine,Töötamine,Palestiina okupeeritud ala,N, 40-44
2020-07-12 02:23:03.694859,Tähtajaline elamisluba,Välisleping,Palestiina okupeeritud ala,M, 40-44
2016-08-10 14:55:20.946651,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,India,N, 15-19
2021-01-22 01:06:36.186115,Tähtajalise elamisloa pikendamine,Ettevõtlus,Filipiinid,N, 15-19
2022-04-17 15:23:25.870206,Tähtajaline elamisluba,Töötamine,Jaapan,N, 15-19
2025-05-20 14:12:44.816338,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Türgi,N, 5-9
2025-06-01 23:59:59.999784,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Argentina,N, 55-59
2025-03-13 08:19:05.846924,Tähtajalise elamisloa pikendamine,Õppimine,Venezuela,M, 60-64
2020-04-24 07:16:18.670005,Tähtajalise elamisloa pikendamine,Töötamine,Argentina,M, 0-4
2021-12-19 17:27:21.492329,Tähtajalise elamisloa pikendamine,Töötamine,Usbekistan,M, 25-29
2018-01-31 23:11:18.234609,Tähtajalise elamisloa pikendamine,Õppimine,Määratlemata kodakondsus,M, 45-49
2024-02-15 16:05:33.288445,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Usbekistan,M, 25-29
2015-06-23 23:50:36.723594,Tähtajalise elamisloa pikendamine,Õppimine,Süüria,N, 15-19
2016-05-08 23:34:53.859298,Tähtajaline elamisluba,Õppimine,Taiwan,M, 25-29
2025-03-22 00:19:54.032185,Tähtajalise elamisloa pikendamine,Õppimine,Libeeria,M, 40-44
2024-11-22 15:49:03.207141,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Brasiilia,M, 40-44
2024-06-28 17:34:10.615030,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Korea Vabariik,M, 80-84
2022-04-13 19:34:01.917223,Tähtajaline elamisluba,Välisleping,Hiina,N, 40-44
2020-11-07 08:36:48.419133,Tähtajalise elamisloa pikendamine,Töötamine,Nepal,N, 30-34
2022-10-13 04:34:11.773860,Tähtajaline elamisluba,Ettevõtlus,Gruusia,N, 15-19
2025-06-01 23:59:59.999288,Tähtajalise elamisloa pikendamine,Õppimine,Venemaa,N, 25-29
2015-06-15 09:25:27.579198,Tähtajalise elamisloa pikendamine,Pereränne,Tuneesia,N, 60-64
2025-05-26 16:12:05.595184,Tähtajalise elamisloa pikendamine,Välisleping,Sierra Leone,M, 50-54
2024-11-23 09:14:33.228486,Tähtajaline elamisluba,Legaalne sissetulek,Tadžikistan,M, 40-44
2015-01-09 09:20:57.574129,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Määratlemata kodakondsus,N, 65-69
2025-02-24 08:06:17.803185,Tähtajalise elamisloa pikendamine,Õppimine,Kanada,N, 40-44
2019-09-14 04:40:42.051237,Tähtajalise elamisloa pikendamine,Välisleping,Nigeeria,M, 30-34
2016-04-07 16:08:36.012603,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Suurbritannia,N, 60-64
2023-11-09 08:39:32.067422,Tähtajaline elamisluba,Legaalne sissetulek,Vietnam,N, 10-14
2022-05-04 09:06:51.408927,Tähtajalise elamisloa pikendamine,Pereränne,Vietnam,M, 60-64
2020-03-06 20:25:19.579406,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Egiptus,N, 5-9
2025-01-26 09:33:54.985480,Tähtajalise elamisloa pikendamine,Pereränne,Tai,M, 15-19
2015-05-21 15:40:16.954016,Tähtajaline elamisluba,Töötamine,Türgi,M, 65-69
2019-05-15 18:45:08.070669,Tähtajaline elamisluba,Legaalne sissetulek,Muu,N, 30-34
2022-04-29 23:55:02.506059,Tähtajalise elamisloa pikendamine,Töötamine,Venemaa,N, 20-24
